City_Name,State_Name,Vacant_houses,normalized_houses
Yuba City,California,0.035293628,0.087616605
Rochester,Minnesota,0.062131178,0.154240955
Leominster,Massachusetts,0.045857356,0.113841112
Kingsport,Tennessee,0.112217161,0.278579654
Duluth,Minnesota,0.066847744,0.165949853
Rock Hill,South Carolina,0.074980872,0.186140384
Gilroy,California,0.033483121,0.083122013
Cambridge,Massachusetts,0.080564676,0.200002204
Sugar Land,Texas,0.05030161,0.124873994
Texas City,Texas,0.091518169,0.227194305
Iowa City,Iowa,0.07801181,0.193664702
Saginaw,Michigan,0.127457594,0.316414104
Chico,California,0.057214882,0.142036226
Dover,Delaware,0.056057303,0.13916253
Clearwater,Florida,0.163452591,0.405771861
Coeur d'Alene,Idaho,0.059985128,0.148913375
Seaside,California,0.060364781,0.149855866
Independence,Missouri,0.081126244,0.2013963
West Jordan,Utah,0.033188954,0.082391742
Brandon,Florida,0.052705582,0.130841867
Bloomington,Indiana,0.089153454,0.221323888
El Monte,California,0.025290202,0.062783051
North Charleston,South Carolina,0.09247869,0.229578803
Carlsbad,California,0.061989358,0.153888886
St. Cloud,Minnesota,0.059353072,0.147344293
Temecula,California,0.035001345,0.086891011
Clovis,California,0.04149793,0.103018815
Meridian,Idaho,0.05494304,0.136396367
The Woodlands,Texas,0.071086597,0.176472827
Ponce,Puerto Rico,None,0
Westminster,Colorado,0.043165321,0.107158122
Costa Mesa,California,0.042409245,0.105281159
Monroe,Louisiana,0.112120927,0.278340753
Utica,New York,0.109558316,0.271979058
Pompano Beach,Florida,0.200713066,0.498271174
West Palm Beach,Florida,0.133086908,0.330388904
Waterloo,Iowa,0.083568016,0.207458011
Everett,Washington,0.049032696,0.121723909
El Centro,California,0.060102387,0.149204471
Santa Fe,New Mexico,0.112058356,0.27818542
Downey,California,0.029650567,0.073607678
Spring Hill,Florida,0.069193692,0.171773681
Lowell,Massachusetts,0.051814544,0.12862986
Centennial,Colorado,0.028024344,0.069570572
Elgin,Illinois,0.044485566,0.110435636
Richmond,California,0.042055728,0.104403552
Broken Arrow,Oklahoma,0.048172091,0.119587453
Miami Gardens,Florida,0.036343705,0.090223426
Bend,Oregon,0.078291975,0.194360213
Burlington,Vermont,0.047587791,0.118136925
Jurupa Valley,California,0.028572423,0.070931181
Sandy Springs,Georgia,0.070383912,0.174728408
Gresham,Oregon,0.037513972,0.09312862
Lewisville,Texas,0.058513374,0.145259739
Hillsboro,Oregon,0.048037202,0.11925259
San Buenaventura,California,None,0
Jacksonville,North Carolina,0.142559573,0.353904841
Pottstown,Pennsylvania,0.085602021,0.212507438
Inglewood,California,0.040140988,0.0996502
League City,Texas,0.049226312,0.122204562
Eau Claire,Wisconsin,0.037449561,0.092968719
Turlock,California,0.037522406,0.093149557
Temple,Texas,0.080308466,0.199366162
Sioux City,Iowa,0.062946025,0.156263817
Salisbury,Maryland,0.098526092,0.244591508
Davie,Florida,0.063452447,0.157521012
Daly City,California,0.049844516,0.123739256
Highlands Ranch,Colorado,0.030878429,0.076655852
Allen,Texas,0.03979763,0.098797812
West Covina,California,0.034650055,0.086018932
Sparks,Nevada,0.051140035,0.126955388
Wichita Falls,Texas,0.122842407,0.30495688
San Mateo,California,0.046555684,0.115574715
Columbia,Maryland,0.042494571,0.105492982
Norwalk,California,0.021788789,0.054090776
Rialto,California,0.023145167,0.057457991
Manteca,California,0.032545343,0.080793974
Arden-Arcade,California,0.045413216,0.112738532
El Cajon,California,0.030994041,0.076942859
Burbank,California,0.047783251,0.118622156
Longmont,Colorado,0.047912668,0.118943434
Renton,Washington,0.044485955,0.110436602
Vista,California,0.035105897,0.087150562
Logan,Utah,0.04815864,0.119554061
Prescott Valley,Arizona,0.074497086,0.184939382
Vacaville,California,0.029990003,0.07445033
Edinburg,Texas,0.07817674,0.194074142
Carmel,Indiana,0.052746262,0.130942855
Spokane Valley,Washington,0.044113277,0.109511427
San Angelo,Texas,0.08915874,0.221337011
La Crosse,Wisconsin,0.059535114,0.147796213
Idaho Falls,Idaho,0.051350713,0.127478398
Holland,Michigan,0.056616341,0.140550345
Charlottesville,Virginia,0.07677579,0.190596276
Longview,Texas,0.093014632,0.230909281
Tracy,California,0.029575186,0.073420545
Boca Raton,Florida,0.162144968,0.402525681
Lafayette,Colorado,0.030989082,0.076930548
Lee's Summit,Missouri,0.046986848,0.116645081
Rio Rancho,New Mexico,0.038410196,0.095353501
South Fulton,Georgia,0.059009357,0.146491019
Beaverton,Oregon,0.048429815,0.120227254
Lawrence,Kansas,0.085972225,0.213426471
Bismarck,North Dakota,0.067843402,0.168421579
Orem,Utah,0.052894812,0.131311631
Middletown,Ohio,0.080106055,0.198863676
San Tan Valley,Arizona,0.089891941,0.223157186
San Marcos,California,0.038236036,0.094921147
Sandy,Utah,0.038375302,0.095266876
Federal Way,Washington,0.040794118,0.101271599
Mandeville,Louisiana,0.097386383,0.241762175
Hesperia,California,0.039546533,0.098174463
Brockton,Massachusetts,0.041443277,0.102883139
Compton,California,0.026435992,0.06562748
Riverview,Florida,0.060165442,0.149361006
Fishers,Indiana,0.03696182,0.0917579
Sunrise,Florida,0.077599407,0.19264091
Bowling Green,Kentucky,0.114161713,0.283407014
Roswell,Georgia,0.049142827,0.12199731
Menifee,California,0.04982752,0.123697063
Plantation,Florida,0.246837222,0.612774618
Dover,New Hampshire,0.048463669,0.120311297
Quincy,Massachusetts,0.048969346,0.121566642
Portsmouth,Virginia,0.083796682,0.208025675
Chino,California,0.032067294,0.079607215
Lynn,Massachusetts,0.039339895,0.097661483
Edmond,Oklahoma,0.059604702,0.147968966
Hanford,California,0.034960455,0.086789502
Dearborn,Michigan,0.060990492,0.151409196
Livonia,Michigan,0.027191679,0.067503477
South Gate,California,0.020212087,0.050176605
Vineland,New Jersey,0.055415939,0.137570341
Florence,South Carolina,0.090217332,0.22396497
Portsmouth,New Hampshire,0.061195233,0.151917467
Slidell,Louisiana,0.0617119,0.153200095
Lawton,Oklahoma,0.163934426,0.406968019
Kirkland,Washington,0.049526475,0.122949718
Missoula,Montana,0.055573143,0.137960601
Auburn,Alabama,0.089614261,0.222467844
Rapid City,South Dakota,0.068059862,0.168958942
Terre Haute,Indiana,0.134569332,0.334069029
Suffolk,Virginia,0.073219685,0.181768228
Blacksburg,Virginia,0.074531096,0.185023812
Mount Pleasant,South Carolina,0.085840708,0.21309998
Carson,California,0.020903282,0.0518925
Conroe,Texas,0.091558828,0.227295241
Alafaya,Florida,0.045696991,0.113443005
Livermore,California,0.033630916,0.083488914
Westminster,California,0.031709065,0.07871791
Germantown,Maryland,0.035730371,0.088700822
Santa Monica,California,0.094504572,0.234608065
New Braunfels,Texas,0.089830599,0.223004904
Fall River,Massachusetts,0.075384477,0.187142335
Albany,Georgia,0.139681586,0.346760224
Miami Beach,Florida,0.318618888,0.790972957
Norwalk,Connecticut,0.054361501,0.134952694
San Leandro,California,0.033406286,0.082931269
O'Fallon,Missouri,0.028902574,0.071750782
Newton,Massachusetts,0.0484994,0.120399999
Muncie,Indiana,0.144020781,0.357532297
Citrus Heights,California,0.038855489,0.096458943
State College,Pennsylvania,0.103005892,0.255712634
Town 'n' Country,Florida,0.054955365,0.136426964
Decatur,Illinois,0.119954841,0.297788483
Jackson,Michigan,0.101390948,0.251703527
Fort Myers,Florida,0.208597434,0.517844156
Goodyear,Arizona,0.103659716,0.257335755
Dalton,Georgia,0.074096849,0.183945792
Bryan,Texas,0.115708582,0.287247124
Waukegan,Illinois,0.055894949,0.138759486
Hawthorne,California,0.032839319,0.081523771
Anderson,Indiana,0.138201835,0.343086735
Redwood City,California,0.054150063,0.134427798
Hoover,Alabama,0.056629409,0.140582786
Lake Forest,California,0.027543343,0.068376484
Napa,California,0.055196164,0.137024749
Whittier,California,0.033185324,0.08238273
Clifton,New Jersey,0.04072018,0.101088047
Largo,Florida,0.151234956,0.375441522
Bloomington,Minnesota,0.038383838,0.095288067
Johns Creek,Georgia,0.041628059,0.103341861
Newport Beach,California,0.146925538,0.364743371
Mission,Texas,0.16944385,0.420645191
Milpitas,California,0.027915657,0.069300756
Troy,Michigan,0.04427627,0.109916058
Madera,California,0.028423773,0.070562156
Joplin,Missouri,0.099284883,0.24647521
Chino Hills,California,0.031072579,0.07713783
Alhambra,California,0.041536897,0.103115551
Franklin,Tennessee,0.056768433,0.140927914
Melbourne,Florida,0.099210088,0.246289531
Port Huron,Michigan,0.082663092,0.205211533
Springfield,Ohio,0.111091047,0.275784071
Mountain View,California,0.077007642,0.19117185
Zephyrhills,Florida,0.157187292,0.390218226
St. Augustine,Florida,0.184659091,0.458417102
Flagstaff,Arizona,0.151008958,0.374880481
Buena Park,California,0.018456376,0.045818044
Pleasanton,California,0.037030786,0.091929108
Silver Spring,Maryland,0.050412518,0.125149324
Atascocita,Texas,0.04357067,0.108164403
Westland,Michigan,0.049352812,0.122518599
Auburn,Washington,0.035715404,0.088663666
Cranston,Rhode Island,0.044058276,0.109374887
Somerville,Massachusetts,0.050208167,0.124642022
Folsom,California,0.041861094,0.103920372
Springdale,Arkansas,0.042369584,0.105182701
Deerfield Beach,Florida,0.194390654,0.482575755
Warwick,Rhode Island,0.053592233,0.133042982
Cicero,Illinois,0.061000155,0.151433185
Farmington Hills,Michigan,0.054304211,0.134810471
Newark,Ohio,0.068632276,0.170379963
Williamsburg,Virginia,0.106031636,0.263224058
Brooklyn Park,Minnesota,0.03058403,0.075925005
Hattiesburg,Mississippi,0.120335986,0.298734677
Alexandria,Louisiana,0.128479862,0.318951889
Lawrence,Massachusetts,0.035090642,0.087112691
Florence,Alabama,0.111314054,0.276337687
Valdosta,Georgia,0.105472143,0.261835114
Plymouth,Minnesota,0.035142134,0.087240521
Buckeye,Arizona,0.099773169,0.247687383
Georgetown,Texas,0.077402847,0.192152948
Cheyenne,Wyoming,0.060094711,0.149185416
Cedar Park,Texas,0.044190189,0.109702362
The Villages,Florida,0.139744411,0.346916188
Kokomo,Indiana,0.111223903,0.276113886
Tustin,California,0.033908514,0.084178053
Lakewood,California,0.021911138,0.054394508
Perris,California,0.020438633,0.050739007
St. Joseph,Missouri,0.120412983,0.298925823
Flower Mound,Texas,0.038481695,0.095530997
Pharr,Texas,0.126382774,0.313745858
Pine Hills,Florida,0.050947387,0.126477139
Alton,Illinois,0.13582147,0.337177467
Loveland,Colorado,0.046763439,0.116090467
Boynton Beach,Florida,0.141526768,0.351340898
New Rochelle,New York,0.059906325,0.148717746
Anderson,South Carolina,0.111303663,0.276311891
Jonesboro,Arkansas,0.079679,0.197803509
Lebanon,Pennsylvania,0.075266935,0.186850536
Parma,Ohio,0.04856841,0.120571317
Layton,Utah,0.033906452,0.084172934
Elizabethtown,Kentucky,0.069693095,0.173013451
Texarkana,Texas,0.114443762,0.284107202
Alameda,California,0.061468084,0.152594821
Kankakee,Illinois,0.131698113,0.326941213
Watsonville,California,0.023723003,0.058892472
Porterville,California,0.040198616,0.099793262
Baytown,Texas,0.095670943,0.237503587
Upland,California,0.025767257,0.063967342
Davis,California,0.051688465,0.128316869
Camarillo,California,0.039564467,0.098218984
South Jordan,Utah,0.038850323,0.096446118
Battle Creek,Michigan,0.087135871,0.216315228
Bellflower,California,0.023354481,0.057977614
San Marcos,Texas,0.091846361,0.228009043
San Ramon,California,0.023982708,0.059537191
Lake Jackson,Texas,0.114689774,0.284717928
Bethlehem,Pennsylvania,0.059059152,0.146614635
Wyoming,Michigan,0.037697419,0.093584028
Oshkosh,Wisconsin,0.058620218,0.14552498
Hammond,Indiana,0.073408334,0.18223655
Waldorf,Maryland,0.037158829,0.092246976
Missouri City,Texas,0.042452298,0.105388039
Pasco,Washington,0.027985535,0.069474228
Wheeling,West Virginia,0.14215312,0.35289582
