City_Name,State_ID,CrimesOccurred,normalized_crimes
Buffalo,NY,12.30%,0.591346154
Fort Worth,TX,9.00%,0.432692308
Hartford,CT,14.50%,0.697115385
Tucson,AZ,12.60%,0.605769231
Omaha,NE,8.50%,0.408653846
El Paso,TX,14.00%,0.673076923
Honolulu,HI,None,0
McAllen,TX,11.80%,0.567307692
Albuquerque,NM,10.00%,0.480769231
Birmingham,AL,13.90%,0.668269231
Sarasota,FL,None,0
Dayton,OH,13.40%,0.644230769
Rochester,NY,13.90%,0.668269231
Fresno,CA,12.70%,0.610576923
Allentown,PA,14.10%,0.677884615
Tulsa,OK,11.00%,0.528846154
Cape Coral,FL,7.40%,0.355769231
Concord,CA,6.90%,0.331730769
Colorado Springs,CO,9.30%,0.447115385
Charleston,SC,6.70%,0.322115385
Springfield,MA,15.20%,0.730769231
Grand Rapids,MI,10.10%,0.485576923
Mission Viejo,CA,3.50%,0.168269231
Albany,NY,15.50%,0.745192308
Knoxville,TN,15.30%,0.735576923
Bakersfield,CA,10.30%,0.495192308
Ogden,UT,11.10%,0.533653846
Baton Rouge,LA,13.90%,0.668269231
Akron,OH,14.80%,0.711538462
New Haven,CT,9.30%,0.447115385
Columbia,SC,12.30%,0.591346154
Mesa,AZ,9.30%,0.447115385
Palm Bay,FL,11.70%,0.5625
Provo,UT,11.00%,0.528846154
Worcester,MA,14.00%,0.673076923
Murrieta,CA,4.00%,0.192307692
Greenville,SC,9.20%,0.442307692
Wichita,KS,11.70%,0.5625
Toledo,OH,13.90%,0.668269231
Staten Island,NY,None,0
Des Moines,IA,10.90%,0.524038462
Long Beach,CA,7.90%,0.379807692
Port St. Lucie,FL,5.80%,0.278846154
Denton,TX,7.10%,0.341346154
Madison,WI,7.70%,0.370192308
Reno,NV,8.80%,0.423076923
Harrisburg,PA,None,0
Little Rock,AR,11.60%,0.557692308
Oakland,CA,7.90%,0.379807692
Durham,NC,8.50%,0.408653846
Winston-Salem,NC,13.00%,0.625
Bonita Springs,FL,None,0
Indio,CA,14.50%,0.697115385
Palm Coast,FL,7.70%,0.370192308
Chattanooga,TN,12.50%,0.600961538
Spokane,WA,10.40%,0.5
Syracuse,NY,12.30%,0.591346154
Lancaster,PA,None,0
Arlington,TX,7.80%,0.375
Stockton,CA,11.40%,0.548076923
Poughkeepsie,NY,None,0
Augusta,GA,None,0
Boise,ID,None,0
Oxnard,CA,6.50%,0.3125
Scranton,PA,15.20%,0.730769231
Modesto,CA,8.40%,0.403846154
Kissimmee,FL,18.20%,0.875
Aurora,CO,7.30%,0.350961538
Youngstown,OH,13.60%,0.653846154
Fayetteville,AR,11.80%,0.567307692
Anaheim,CA,7.20%,0.346153846
Pensacola,FL,None,0
Victorville,CA,11.70%,0.5625
Lancaster,CA,9.30%,0.447115385
Greensboro,NC,10.30%,0.495192308
Corpus Christi,TX,9.40%,0.451923077
Fort Wayne,IN,11.90%,0.572115385
Santa Ana,CA,7.90%,0.379807692
Flint,MI,16.10%,0.774038462
Fayetteville,NC,11.90%,0.572115385
Jackson,MS,15.20%,0.730769231
Santa Rosa,CA,5.50%,0.264423077
Lansing,MI,11.40%,0.548076923
San Juan,PR,None,0
Lexington,KY,None,0
Ann Arbor,MI,6.60%,0.317307692
Henderson,NV,6.50%,0.3125
Huntsville,AL,9.50%,0.456730769
Mobile,AL,13.80%,0.663461538
Fort Collins,CO,8.60%,0.413461538
Asheville,NC,9.00%,0.432692308
Santa Clarita,CA,4.70%,0.225961538
St. Paul,MN,7.50%,0.360576923
Antioch,CA,6.60%,0.317307692
Lakeland,FL,9.20%,0.442307692
Trenton,NJ,11.60%,0.557692308
Lincoln,NE,9.00%,0.432692308
Springfield,MO,14.40%,0.692307692
Anchorage,AK,None,0
Plano,TX,4.50%,0.216346154
Irvine,CA,4.10%,0.197115385
Davenport,IA,12.50%,0.600961538
Rockford,IL,13.10%,0.629807692
Newark,NJ,14.30%,0.6875
South Bend,IN,12.10%,0.581730769
Shreveport,LA,16.10%,0.774038462
Round Lake Beach,IL,None,0
Savannah,GA,13.70%,0.658653846
Myrtle Beach,SC,None,0
Chula Vista,CA,5.50%,0.264423077
Eugene,OR,10.00%,0.480769231
Canton,OH,19.30%,0.927884615
Lubbock,TX,11.50%,0.552884615
Reading,PA,14.70%,0.706730769
Winter Haven,FL,None,0
Salem,OR,9.30%,0.447115385
St. Petersburg,FL,9.50%,0.456730769
Lafayette,LA,11.80%,0.567307692
Laredo,TX,12.10%,0.581730769
Jersey City,NJ,6.90%,0.331730769
Concord,NC,9.00%,0.432692308
Columbus,GA,11.30%,0.543269231
Chandler,AZ,5.20%,0.25
McKinney,TX,3.70%,0.177884615
Scottsdale,AZ,5.30%,0.254807692
Killeen,TX,9.80%,0.471153846
Tallahassee,FL,11.70%,0.5625
Peoria,IL,11.30%,0.543269231
Wilmington,NC,11.70%,0.5625
Montgomery,AL,12.70%,0.610576923
Gilbert,AZ,None,0
Glendale,AZ,9.80%,0.471153846
North Las Vegas,NV,8.70%,0.418269231
Chesapeake,VA,5.10%,0.245192308
Barnstable,MA,None,0
Norfolk,VA,10.70%,0.514423077
Fremont,CA,2.90%,0.139423077
Kennewick,WA,12.40%,0.596153846
Garland,TX,7.50%,0.360576923
Irving,TX,6.40%,0.307692308
Visalia,CA,9.20%,0.442307692
Atlantic City,NJ,None,0
Paradise,NV,None,0
Nashua,NH,7.90%,0.379807692
Arlington,VA,None,0
Hialeah,FL,15.80%,0.759615385
York,PA,None,0
Evansville,IN,14.80%,0.711538462
Avondale,AZ,6.60%,0.317307692
Brownsville,TX,14.80%,0.711538462
Gulfport,MS,8.50%,0.408653846
Appleton,WI,10.20%,0.490384615
Bremerton,WA,None,0
Hickory,NC,None,0
Tacoma,WA,8.00%,0.384615385
San Bernardino,CA,11.50%,0.552884615
College Station,TX,10.30%,0.495192308
Kalamazoo,MI,12.10%,0.581730769
Thousand Oaks,CA,4.20%,0.201923077
Roanoke,VA,13.00%,0.625
Fontana,CA,6.60%,0.317307692
Moreno Valley,CA,8.00%,0.384615385
North Port,FL,6.40%,0.307692308
Fargo,ND,9.90%,0.475961538
Green Bay,WI,8.90%,0.427884615
Spring Valley,NV,None,0
Amarillo,TX,10.30%,0.495192308
Portland,ME,7.70%,0.370192308
Santa Barbara,CA,6.00%,0.288461538
Gainesville,FL,12.50%,0.600961538
Olympia,WA,None,0
Frisco,TX,2.90%,0.139423077
Yonkers,NY,10.90%,0.524038462
Norwich,CT,None,0
Glendale,CA,9.60%,0.461538462
Huntington Beach,CA,5.90%,0.283653846
Deltona,FL,6.80%,0.326923077
Aurora,IL,7.10%,0.341346154
Tempe,AZ,7.60%,0.365384615
Overland Park,KS,4.10%,0.197115385
Grand Prairie,TX,7.10%,0.341346154
Sunrise Manor,NV,None,0
Waco,TX,12.90%,0.620192308
Salinas,CA,8.00%,0.384615385
Waterbury,CT,12.50%,0.600961538
Clarksville,TN,9.40%,0.451923077
Cedar Rapids,IA,8.00%,0.384615385
Sioux Falls,SD,7.70%,0.370192308
Huntington,WV,None,0
Ontario,CA,7.00%,0.336538462
Hagerstown,MD,None,0
Erie,PA,16.90%,0.8125
Vancouver,WA,7.50%,0.360576923
Nampa,ID,14.30%,0.6875
Spartanburg,SC,None,0
Gastonia,NC,12.70%,0.610576923
Fort Lauderdale,FL,9.70%,0.466346154
Lorain,OH,12.80%,0.615384615
Murfreesboro,TN,8.20%,0.394230769
High Point,NC,11.80%,0.567307692
Newport News,VA,11.20%,0.538461538
Rancho Cucamonga,CA,5.80%,0.278846154
Hemet,CA,15.00%,0.721153846
Santa Cruz,CA,8.60%,0.413461538
Danbury,CT,10.70%,0.514423077
Peoria,AZ,6.80%,0.326923077
Oceanside,CA,7.40%,0.355769231
Elk Grove,CA,5.00%,0.240384615
Pembroke Pines,FL,5.90%,0.283653846
Vallejo,CA,6.00%,0.288461538
Garden Grove,CA,8.60%,0.413461538
Enterprise,NV,None,0
Medford,OR,11.80%,0.567307692
Cary,NC,None,0
Marysville,WA,5.30%,0.254807692
Corona,CA,4.40%,0.211538462
Ocala,FL,None,0
Fredericksburg,VA,None,0
Gainesville,GA,None,0
Manchester,NH,7.40%,0.355769231
Bayamon,PR,None,0
Champaign,IL,10.10%,0.485576923
Alexandria,VA,4.40%,0.211538462
Hayward,CA,4.70%,0.225961538
Springfield,IL,12.40%,0.596153846
Lakewood,CO,8.20%,0.394230769
Lafayette,IN,10.20%,0.490384615
Frederick,MD,5.90%,0.283653846
Lake Charles,LA,17.50%,0.841346154
Odessa,TX,7.10%,0.341346154
Tuscaloosa,AL,10.00%,0.480769231
Warner Robins,GA,5.40%,0.259615385
Palmdale,CA,7.90%,0.379807692
Hollywood,FL,9.60%,0.461538462
Midland,TX,5.00%,0.240384615
Leesburg,FL,None,0
Port Arthur,TX,None,0
Muskegon,MI,None,0
Macon,GA,None,0
Kansas City,KS,11.20%,0.538461538
Sunnyvale,CA,3.50%,0.168269231
Pomona,CA,10.20%,0.490384615
Escondido,CA,7.70%,0.370192308
Pasadena,TX,10.80%,0.519230769
New Bedford,MA,11.80%,0.567307692
Fairfield,CA,5.80%,0.278846154
Naperville,IL,3.20%,0.153846154
Bellevue,WA,3.30%,0.158653846
Binghamton,NY,None,0
Elkhart,IN,None,0
Topeka,KS,11.50%,0.552884615
Joliet,IL,6.60%,0.317307692
Beaumont,TX,12.40%,0.596153846
Paterson,NJ,11.90%,0.572115385
Merced,CA,11.00%,0.528846154
Pueblo,CO,13.70%,0.658653846
Tyler,TX,8.30%,0.399038462
Torrance,CA,5.80%,0.278846154
Yuma,AZ,11.00%,0.528846154
Metairie,LA,None,0
Surprise,AZ,5.80%,0.278846154
Columbia,MO,10.10%,0.485576923
Athens,GA,None,0
Roseville,CA,7.00%,0.336538462
Thornton,CO,6.10%,0.293269231
Miramar,FL,2.50%,0.120192308
Pasadena,CA,7.70%,0.370192308
Mesquite,TX,6.10%,0.293269231
Olathe,KS,4.80%,0.230769231
Santa Maria,CA,6.20%,0.298076923
Houma,LA,None,0
Carrollton,TX,4.20%,0.201923077
Grand Junction,CO,None,0
Charleston,WV,None,0
Orange,CA,5.80%,0.278846154
Fullerton,CA,5.50%,0.264423077
Greeley,CO,9.60%,0.461538462
Carolina,PR,None,0
Las Cruces,NM,20.80%,1
Panama City,FL,None,0
Harlingen,TX,13.50%,0.649038462
West Valley City,UT,6.30%,0.302884615
Hampton,VA,8.80%,0.423076923
Warren,MI,12.50%,0.600961538
Mauldin,SC,None,0
Bloomington,IL,6.20%,0.298076923
Coral Springs,FL,5.80%,0.278846154
Round Rock,TX,3.70%,0.177884615
Yakima,WA,13.80%,0.663461538
Sterling Heights,MI,7.40%,0.355769231
Kent,WA,10.10%,0.485576923
Burlington,NC,None,0
Bellingham,WA,10.30%,0.495192308
Santa Clara,CA,5.60%,0.269230769
Racine,WI,13.20%,0.634615385
Greenville,NC,11.00%,0.528846154
Stamford,CT,7.00%,0.336538462
Elizabeth,NJ,12.20%,0.586538462
Johnson City,TN,14.70%,0.706730769
Lynchburg,VA,12.70%,0.610576923
Simi Valley,CA,4.60%,0.221153846
Fort Smith,AR,10.00%,0.480769231
Kenosha,WI,7.80%,0.375
Norman,OK,7.00%,0.336538462
South Lyon,MI,None,0
Boulder,CO,6.00%,0.288461538
Abilene,TX,9.60%,0.461538462
Lehigh Acres,FL,None,0
Pearland,TX,5.10%,0.245192308
Berkeley,CA,6.20%,0.298076923
Richardson,TX,6.00%,0.288461538
Redding,CA,9.00%,0.432692308
Arvada,CO,5.20%,0.25
East Los Angeles,CA,None,0
St. George,UT,7.60%,0.365384615
Billings,MT,11.60%,0.557692308
Yuba City,CA,7.70%,0.370192308
Rochester,MN,7.80%,0.375
Leominster,MA,None,0
Kingsport,TN,None,0
Duluth,MN,11.80%,0.567307692
Rock Hill,SC,9.70%,0.466346154
Gilroy,CA,None,0
Cambridge,MA,5.80%,0.278846154
Sugar Land,TX,2.30%,0.110576923
Texas City,TX,None,0
Iowa City,IA,11.30%,0.543269231
Saginaw,MI,None,0
Chico,CA,12.70%,0.610576923
Dover,DE,None,0
Clearwater,FL,12.10%,0.581730769
Coeur d'Alene,ID,None,0
Seaside,CA,None,0
Independence,MO,8.90%,0.427884615
West Jordan,UT,1.70%,0.081730769
Brandon,FL,None,0
Bloomington,IN,15.70%,0.754807692
El Monte,CA,11.60%,0.557692308
North Charleston,SC,15.70%,0.754807692
Carlsbad,CA,5.30%,0.254807692
St. Cloud,MN,11.00%,0.528846154
Temecula,CA,4.40%,0.211538462
Clovis,CA,5.80%,0.278846154
Meridian,ID,8.00%,0.384615385
The Woodlands,TX,None,0
Ponce,PR,None,0
Westminster,CO,6.30%,0.302884615
Costa Mesa,CA,5.20%,0.25
Monroe,LA,None,0
Utica,NY,None,0
Pompano Beach,FL,12.20%,0.586538462
West Palm Beach,FL,9.20%,0.442307692
Waterloo,IA,12.10%,0.581730769
Everett,WA,7.10%,0.341346154
El Centro,CA,None,0
Santa Fe,NM,8.70%,0.418269231
Downey,CA,4.60%,0.221153846
Spring Hill,FL,None,0
Lowell,MA,10.80%,0.519230769
Centennial,CO,3.00%,0.144230769
Elgin,IL,7.50%,0.360576923
Richmond,CA,3.10%,0.149038462
Broken Arrow,OK,6.10%,0.293269231
Miami Gardens,FL,12.90%,0.620192308
Bend,OR,9.20%,0.442307692
Burlington,VT,None,0
Jurupa Valley,CA,6.20%,0.298076923
Sandy Springs,GA,3.20%,0.153846154
Gresham,OR,14.00%,0.673076923
Lewisville,TX,6.80%,0.326923077
Hillsboro,OR,5.30%,0.254807692
San Buenaventura,CA,None,0
Jacksonville,NC,11.00%,0.528846154
Pottstown,PA,None,0
Inglewood,CA,7.60%,0.365384615
League City,TX,2.60%,0.125
Eau Claire,WI,9.40%,0.451923077
Turlock,CA,11.50%,0.552884615
Temple,TX,7.20%,0.346153846
Sioux City,IA,8.10%,0.389423077
Salisbury,MD,None,0
Davie,FL,None,0
Daly City,CA,5.40%,0.259615385
Highlands Ranch,CO,None,0
Allen,TX,5.00%,0.240384615
West Covina,CA,8.00%,0.384615385
Sparks,NV,6.80%,0.326923077
Wichita Falls,TX,12.20%,0.586538462
San Mateo,CA,3.10%,0.149038462
Columbia,MD,None,0
Norwalk,CA,7.20%,0.346153846
Rialto,CA,7.50%,0.360576923
Manteca,CA,9.60%,0.461538462
Arden-Arcade,CA,None,0
El Cajon,CA,7.70%,0.370192308
Burbank,CA,6.50%,0.3125
Longmont,CO,6.00%,0.288461538
Renton,WA,5.50%,0.264423077
Vista,CA,6.90%,0.331730769
Logan,UT,None,0
Prescott Valley,AZ,None,0
Vacaville,CA,4.10%,0.197115385
Edinburg,TX,9.50%,0.456730769
Carmel,IN,3.30%,0.158653846
Spokane Valley,WA,9.00%,0.432692308
San Angelo,TX,14.90%,0.716346154
La Crosse,WI,None,0
Idaho Falls,ID,None,0
Holland,MI,None,0
Charlottesville,VA,None,0
Longview,TX,9.60%,0.461538462
Tracy,CA,3.40%,0.163461538
Boca Raton,FL,5.90%,0.283653846
Lafayette,CO,None,0
Lee's Summit,MO,4.90%,0.235576923
Rio Rancho,NM,7.30%,0.350961538
South Fulton,GA,4.60%,0.221153846
Beaverton,OR,9.00%,0.432692308
Lawrence,KS,10.20%,0.490384615
Bismarck,ND,6.20%,0.298076923
Orem,UT,7.00%,0.336538462
Middletown,OH,None,0
San Tan Valley,AZ,None,0
San Marcos,CA,7.10%,0.341346154
Sandy,UT,5.50%,0.264423077
Federal Way,WA,3.60%,0.173076923
Mandeville,LA,None,0
Hesperia,CA,13.30%,0.639423077
Brockton,MA,7.00%,0.336538462
Compton,CA,12.10%,0.581730769
Riverview,FL,None,0
Fishers,IN,2.50%,0.120192308
Sunrise,FL,10.00%,0.480769231
Bowling Green,KY,12.00%,0.576923077
Roswell,GA,6.30%,0.302884615
Menifee,CA,7.70%,0.370192308
Plantation,FL,5.40%,0.259615385
Dover,NH,None,0
Quincy,MA,7.60%,0.365384615
Portsmouth,VA,10.40%,0.5
Chino,CA,6.70%,0.322115385
Lynn,MA,9.90%,0.475961538
Edmond,OK,5.10%,0.245192308
Hanford,CA,None,0
Dearborn,MI,11.00%,0.528846154
Livonia,MI,6.00%,0.288461538
South Gate,CA,7.40%,0.355769231
Vineland,NJ,None,0
Florence,SC,None,0
Portsmouth,NH,None,0
Slidell,LA,None,0
Lawton,OK,9.70%,0.466346154
Kirkland,WA,2.10%,0.100961538
Missoula,MT,6.30%,0.302884615
Auburn,AL,12.20%,0.586538462
Rapid City,SD,10.20%,0.490384615
Terre Haute,IN,None,0
Suffolk,VA,9.50%,0.456730769
Blacksburg,VA,None,0
Mount Pleasant,SC,None,0
Carson,CA,7.10%,0.341346154
Conroe,TX,10.30%,0.495192308
Alafaya,FL,None,0
Livermore,CA,2.90%,0.139423077
Westminster,CA,10.50%,0.504807692
Germantown,MD,None,0
Santa Monica,CA,7.40%,0.355769231
New Braunfels,TX,5.10%,0.245192308
Fall River,MA,13.20%,0.634615385
Albany,GA,13.80%,0.663461538
Miami Beach,FL,8.70%,0.418269231
Norwalk,CT,7.30%,0.350961538
San Leandro,CA,6.80%,0.326923077
O'Fallon,MO,5.50%,0.264423077
Newton,MA,3.10%,0.149038462
Muncie,IN,19.90%,0.956730769
Citrus Heights,CA,11.70%,0.5625
State College,PA,None,0
Town 'n' Country,FL,None,0
Decatur,IL,13.50%,0.649038462
Jackson,MI,None,0
Fort Myers,FL,16.80%,0.807692308
Goodyear,AZ,5.50%,0.264423077
Dalton,GA,None,0
Bryan,TX,10.70%,0.514423077
Waukegan,IL,13.10%,0.629807692
Hawthorne,CA,8.60%,0.413461538
Anderson,IN,None,0
Redwood City,CA,3.90%,0.1875
Hoover,AL,5.40%,0.259615385
Lake Forest,CA,2.60%,0.125
Napa,CA,7.80%,0.375
Whittier,CA,6.80%,0.326923077
Clifton,NJ,10.50%,0.504807692
Largo,FL,12.20%,0.586538462
Bloomington,MN,8.20%,0.394230769
Johns Creek,GA,2.90%,0.139423077
Newport Beach,CA,4.00%,0.192307692
Mission,TX,11.20%,0.538461538
Milpitas,CA,5.80%,0.278846154
Troy,MI,2.70%,0.129807692
Madera,CA,9.30%,0.447115385
Joplin,MO,None,0
Chino Hills,CA,1.40%,0.067307692
Alhambra,CA,13.10%,0.629807692
Franklin,TN,4.40%,0.211538462
Melbourne,FL,12.20%,0.586538462
Port Huron,MI,None,0
Springfield,OH,None,0
Mountain View,CA,3.50%,0.168269231
Zephyrhills,FL,None,0
St. Augustine,FL,None,0
Flagstaff,AZ,9.90%,0.475961538
Buena Park,CA,4.10%,0.197115385
Pleasanton,CA,3.00%,0.144230769
Silver Spring,MD,None,0
Atascocita,TX,None,0
Westland,MI,12.10%,0.581730769
Auburn,WA,8.80%,0.423076923
Cranston,RI,6.90%,0.331730769
Somerville,MA,5.70%,0.274038462
Folsom,CA,5.40%,0.259615385
Springdale,AR,10.10%,0.485576923
Deerfield Beach,FL,11.80%,0.567307692
Warwick,RI,7.30%,0.350961538
Cicero,IL,None,0
Farmington Hills,MI,5.30%,0.254807692
Newark,OH,None,0
Williamsburg,VA,None,0
Brooklyn Park,MN,4.80%,0.230769231
Hattiesburg,MS,None,0
Alexandria,LA,None,0
Lawrence,MA,12.80%,0.615384615
Florence,AL,None,0
Valdosta,GA,None,0
Plymouth,MN,5.10%,0.245192308
Buckeye,AZ,8.10%,0.389423077
Georgetown,TX,2.80%,0.134615385
Cheyenne,WY,None,0
Cedar Park,TX,5.10%,0.245192308
The Villages,FL,None,0
Kokomo,IN,None,0
Tustin,CA,3.50%,0.168269231
Lakewood,CA,2.70%,0.129807692
Perris,CA,6.30%,0.302884615
St. Joseph,MO,10.00%,0.480769231
Flower Mound,TX,None,0
Pharr,TX,11.20%,0.538461538
Pine Hills,FL,None,0
Alton,IL,None,0
Loveland,CO,7.30%,0.350961538
Boynton Beach,FL,11.00%,0.528846154
New Rochelle,NY,8.40%,0.403846154
Anderson,SC,None,0
Jonesboro,AR,15.20%,0.730769231
Lebanon,PA,None,0
Parma,OH,7.40%,0.355769231
Layton,UT,5.30%,0.254807692
Elizabethtown,KY,None,0
Texarkana,TX,None,0
Alameda,CA,5.60%,0.269230769
Kankakee,IL,None,0
Watsonville,CA,None,0
Porterville,CA,None,0
Baytown,TX,9.80%,0.471153846
Upland,CA,7.10%,0.341346154
Davis,CA,4.90%,0.235576923
Camarillo,CA,4.40%,0.211538462
South Jordan,UT,3.40%,0.163461538
Battle Creek,MI,None,0
Bellflower,CA,9.40%,0.451923077
San Marcos,TX,None,0
San Ramon,CA,2.80%,0.134615385
Lake Jackson,TX,None,0
Bethlehem,PA,12.10%,0.581730769
Wyoming,MI,8.80%,0.423076923
Oshkosh,WI,12.00%,0.576923077
Hammond,IN,13.00%,0.625
Waldorf,MD,None,0
Missouri City,TX,2.60%,0.125
Pasco,WA,6.90%,0.331730769
Wheeling,WV,None,0
Kendall,FL,None,0
Baldwin Park,CA,13.30%,0.639423077
Rancho Cordova,CA,9.80%,0.471153846
Conway,AR,14.20%,0.682692308
Gary,IN,16.40%,0.788461538
Altoona,PA,None,0
Lodi,CA,9.50%,0.456730769
Arlington Heights,IL,None,0
Bolingbrook,IL,None,0
Rochester Hills,MI,6.10%,0.293269231
Winchester,VA,None,0
Framingham,MA,5.90%,0.283653846
Hilton Head Island,SC,None,0
Centreville,VA,None,0
Union City,CA,1.70%,0.081730769
Owensboro,KY,None,0
Jackson,TN,14.10%,0.677884615
Cleveland,TN,None,0
Wausau,WI,None,0
Camden,NJ,17.70%,0.850961538
Anniston,AL,None,0
Evanston,IL,8.10%,0.389423077
Apple Valley,CA,None,0
Mansfield,OH,None,0
Caguas,PR,None,0
Schaumburg,IL,None,0
Pocatello,ID,None,0
Woodbury,MN,1.30%,0.0625
Southfield,MI,7.70%,0.370192308
Ellicott City,MD,None,0
Dale City,VA,None,0
Maple Grove,MN,4.30%,0.206730769
Pittsburg,CA,7.80%,0.375
New Britain,CT,11.30%,0.543269231
Morgantown,WV,None,0
Mansfield,TX,1.20%,0.057692308
Hammond,LA,None,0
Dothan,AL,9.90%,0.475961538
Harrisonburg,VA,None,0
Wenatchee,WA,None,0
Waukesha,WI,8.90%,0.427884615
Pawtucket,RI,15.00%,0.721153846
Redmond,WA,3.40%,0.163461538
Lauderhill,FL,16.40%,0.788461538
Sumter,SC,None,0
Redlands,CA,8.70%,0.418269231
Daphne,AL,None,0
Mount Vernon,WA,None,0
Weston,FL,5.50%,0.264423077
St. Charles,MO,10.80%,0.519230769
Janesville,WI,None,0
Sherman,TX,None,0
North Richland Hills,TX,5.40%,0.259615385
Broomfield,CO,4.60%,0.221153846
El Paso de Robles,CA,None,0
Bristol,TN,None,0
Wilmington,DE,9.10%,0.4375
Casas Adobes,AZ,None,0
Walnut Creek,CA,4.20%,0.201923077
Poinciana,FL,None,0
Lynwood,CA,10.80%,0.519230769
Glen Burnie,MD,None,0
Lehi,UT,4.60%,0.221153846
Passaic,NJ,13.70%,0.658653846
Homestead,FL,15.90%,0.764423077
West Bend,WI,None,0
Delray Beach,FL,7.50%,0.360576923
Sheboygan,WI,None,0
Lake Elsinore,CA,7.30%,0.350961538
Daytona Beach,FL,11.80%,0.567307692
Los Lunas,NM,None,0
Lima,OH,None,0
Decatur,AL,None,0
Rocklin,CA,3.60%,0.173076923
Rogers,AR,8.80%,0.423076923
Castle Rock,CO,None,0
Hanover,PA,None,0
Bossier City,LA,9.10%,0.4375
Dubuque,IA,None,0
Rockville,MD,3.00%,0.144230769
Victoria,TX,14.60%,0.701923077
Saratoga Springs,NY,None,0
Guaynabo,PR,None,0
Gaithersburg,MD,8.70%,0.418269231
Union City,NJ,12.60%,0.605769231
Ames,IA,6.20%,0.298076923
West Des Moines,IA,6.50%,0.3125
South San Francisco,CA,4.30%,0.206730769
Yorba Linda,CA,3.90%,0.1875
Casper,WY,None,0
Palatine,IL,None,0
Corvallis,OR,None,0
Ankeny,IA,3.30%,0.158653846
Mount Vernon,NY,6.20%,0.298076923
Rowlett,TX,2.50%,0.120192308
Lakeville,MN,2.40%,0.115384615
Alpharetta,GA,5.00%,0.240384615
Longview,WA,None,0
DeKalb,IL,None,0
Petaluma,CA,None,0
Redondo Beach,CA,3.90%,0.1875
Tamarac,FL,13.90%,0.668269231
Laguna Niguel,CA,5.00%,0.240384615
Eagan,MN,3.90%,0.1875
Kenner,LA,12.50%,0.600961538
Bay City,MI,None,0
North Little Rock,AR,12.60%,0.605769231
Sammamish,WA,1.80%,0.086538462
Shawnee,KS,3.50%,0.168269231
Jupiter,FL,None,0
Doral,FL,None,0
Florence-Graham,CA,None,0
Carbondale,IL,None,0
Blaine,MN,3.90%,0.1875
Weirton,WV,None,0
Tulare,CA,None,0
Wellington,FL,None,0
Pflugerville,TX,None,0
Palo Alto,CA,5.50%,0.264423077
Schenectady,NY,10.60%,0.509615385
Great Falls,MT,None,0
Michigan City,IN,None,0
Bayonne,NJ,7.10%,0.341346154
Eden Prairie,MN,None,0
Port Orange,FL,None,0
Dublin,CA,None,0
Grand Forks,ND,None,0
Noblesville,IN,5.50%,0.264423077
San Clemente,CA,4.90%,0.235576923
Brentwood,CA,None,0
Carmichael,CA,None,0
East Orange,NJ,8.10%,0.389423077
Eastvale,CA,None,0
Chapel Hill,NC,None,0
Rocky Mount,NC,None,0
Haverhill,MA,None,0
Beloit,WI,None,0
Glens Falls,NY,None,0
Brentwood,NY,None,0
Fairbanks,AK,None,0
Springfield,OR,None,0
Bethesda,MD,None,0
Johnstown,PA,None,0
Dundalk,MD,None,0
Castro Valley,CA,None,0
Coon Rapids,MN,None,0
Elmira,NY,None,0
Mankato,MN,None,0
Albany,OR,None,0
North Miami,FL,None,0
Encinitas,CA,None,0
Skokie,IL,None,0
